Merge finished: results.csv
Writed lines: 46349
Lost lines: 322
['barrucadu_dotfiles', '2021-11-19', '5ca8d17cbbb21eab8b997dcc976c46d4aac51c4a', '0', '0']
['barrucadu_dotfiles', '2022-01-23', 'acc1887f016b1eb4794012f11820fce88ed6e046', '0', '0']
['barrucadu_dotfiles', '2022-03-10', 'f46cf930432b3f58121344be24a4ee95be7b6bf1', '0', '0']
['barrucadu_dotfiles', '2022-04-09', 'afee28a7ef8f829b4dea87959498c1872028c7ea', '0', '0']
['barrucadu_dotfiles', '2022-05-31', 'f4a4f762d610b0397b5ab8c127cedcf069275cb9', '0', '0']
['barrucadu_dotfiles', '2022-07-11', 'a2f60c6c77319aaf7efcba89e51aee707bb46726', '0', '0']
['barrucadu_dotfiles', '2022-09-03', '441e12266c3594cf135145ee852613287336765d', '0', '0']
['barrucadu_dotfiles', '2022-11-16', '342b620357a96e8553e0d9c93183a721514ad79d', '0', '0']
['tomamic_fondinfo', '2012-06-20', 'f1a25a50b2974a862149ade1101117eb7f44fdd9', '0', '0']
['tomamic_fondinfo', '2012-09-30', 'cd0997e437c54d4984106b87bc05fdb11a8b0853', '0', '0']
['tomamic_fondinfo', '2012-10-30', '5b61baf30a4593f0ff8ac4760059a38d6665cad1', '0', '0']
['tomamic_fondinfo', '2013-06-10', 'ceff243cd908c693fb67921ee9857177cf2fa75a', '0', '0']
['tomamic_fondinfo', '2013-07-28', 'ba3126d2f00a0535c034a46bec8f850def4df610', '0', '0']
['4am-robotics_cob_common', '2012-01-18', '05eabef462a5cdc3d3c78bdfb8590b605b0bcc8b', '4', '4']
['4am-robotics_cob_common', '2012-02-23', '969c5f9eebd1e95a5f4bd7db6e5da05a4b46285b', '4', '4']
['4am-robotics_cob_common', '2012-03-26', 'c54b7f40f4f2f00835588c91454611ce87f9b192', '4', '4']
['4am-robotics_cob_common', '2012-05-02', 'a0e26a08576e846c20457c605d25a83f938e83f0', '4', '4']
['4am-robotics_cob_common', '2012-06-06', 'c351f5a4759147d3b904e2cabd77d2bf377739e7', '4', '4']
['4am-robotics_cob_common', '2012-07-06', '39e4c5b062291fc26cce6b09fd8c25fce49cdd91', '4', '4']
['4am-robotics_cob_common', '2012-08-14', '20fbc3067c5d350fa9a0bd4da79d207484d8bade', '4', '4']
['4am-robotics_cob_common', '2012-09-24', '75e70d2560c3407b828c7608770a544fa578df44', '4', '4']
['4am-robotics_cob_common', '2012-11-06', '64ab1e41fae602f4a6515468263c53f653d9af93', '4', '4']
['4am-robotics_cob_common', '2012-12-14', 'c3546a223f584ac7868c0c122c3425e67af3b520', '4', '4']
['4am-robotics_cob_common', '2013-01-15', 'd98080bbce54a7a74248535cb8c2b769d15d7b3a', '4', '4']
['4am-robotics_cob_common', '2013-03-13', '517341c40643ef18302e98bfcdd6e5e4d0d0d6e8', '4', '4']
['4am-robotics_cob_common', '2013-04-19', '26897bd37e94f973997cb205a230a599ce72bc53', '4', '4']
['4am-robotics_cob_common', '2013-05-22', 'c69cee9f5cc6dbe409965110dc83a14eb4c8d0e0', '4', '4']
['4am-robotics_cob_common', '2013-06-24', '80f525a19dfa01dbc70c304cd6dfabc69f5365a5', '4', '4']
['4am-robotics_cob_common', '2013-07-30', '2460bc6dbd570185a59ffb78833f4fcaf505286a', '2', '2']
['4am-robotics_cob_common', '2013-08-30', 'f7bd0b08ef8c2276ccd83f7800415356b2ffbbb9', '4', '4']
['4am-robotics_cob_common', '2013-10-01', '044e346c4617378cef268d684207f0479e22e955', '4', '4']
['4am-robotics_cob_common', '2013-10-31', '008083eb0f10b41a93636b33286069a72b39807d', '2', '2']
['4am-robotics_cob_common', '2013-12-05', '8009c9b19a87bdade190bee03bb9ad13ba6ccdef', '4', '4']
['4am-robotics_cob_common', '2014-01-15', 'e4834d6afcc62093acbf63ee3088c52403afd063', '2', '2']
['4am-robotics_cob_common', '2014-02-14', '735fa3e7a794faf2e6d07a392fe72eb08f509526', '4', '4']
['4am-robotics_cob_common', '2014-03-17', '722920d0ec92d98d0a703761fa990a2f308136b9', '2', '2']
['4am-robotics_cob_common', '2014-04-23', 'bbb7aae73a51d625f1e4f89b464dd5906ff499f1', '1', '1']
['4am-robotics_cob_common', '2014-05-28', '74a632d9df807383c4c50664c642844140960ae0', '1', '1']
['4am-robotics_cob_common', '2014-07-01', '6627ff2c1f9a28eccbbdde995a28cbd86dee8543', '1', '1']
['4am-robotics_cob_common', '2014-08-01', '9ccd8360f346c7068199031532c80be38b245ea8', '1', '1']
['4am-robotics_cob_common', '2014-09-02', '9be0d6a37cf9ef8827ee18ab471f692a77c0a46d', '1', '1']
['4am-robotics_cob_common', '2014-10-08', '6eb003717531380f44a641e93c2875ea608af187', '1', '1']
['4am-robotics_cob_common', '2014-11-13', 'efef973882876790c3e38d6ae54e0f7fc68c1b40', '1', '1']
['4am-robotics_cob_common', '2014-12-15', 'b68eae80e60a2e861694a6babd0bae90149775e9', '1', '1']
['4am-robotics_cob_common', '2015-01-17', '8655c68836a91a94350c38f3e13ac3fe32539dfc', '1', '1']
['4am-robotics_cob_common', '2015-02-27', 'e14d550c1806b1b6001f9f7d1e73b5504d39fba1', '1', '1']
['4am-robotics_cob_common', '2015-03-30', '5fa379c297cc7470c230ce4bd6ddaf9d9caaedc0', '1', '1']
['4am-robotics_cob_common', '2015-04-29', 'd6f5b04633edce012b1441458b2e9923e0c595dd', '1', '1']
['4am-robotics_cob_common', '2015-05-29', 'fb38a94de73c154ff20737090a7b5c69a1c5dd6c', '1', '1']
['4am-robotics_cob_common', '2015-08-01', 'c3544f985cdca4400f1e791070b1a0fb937bf0b8', '1', '1']
['4am-robotics_cob_common', '2015-09-04', 'c7f5083d834eb337a7048c10d99a9314839948b9', '1', '1']
['4am-robotics_cob_common', '2015-10-16', 'ccf213fa71080000f30fbbb43a2434ed9e99ef0b', '1', '1']
['4am-robotics_cob_common', '2015-11-16', 'c568f4b75986d4065bee2b65ec9631a8fc1b5139', '1', '1']
['4am-robotics_cob_common', '2016-01-21', '124ecbe9043fe1c76751fd326e02972eb26a715c', '1', '1']
['4am-robotics_cob_common', '2016-04-01', '198d39a0c9e005d4cb828c26d85eade970563a6b', '1', '1']
['4am-robotics_cob_common', '2016-05-10', 'ee5b5011e1a79d067163ffe2823c3b496823495d', '1', '1']
['4am-robotics_cob_common', '2016-06-21', 'abe52fec8e4383f3ac1fb651aa06e576afe8dfc3', '1', '1']
['4am-robotics_cob_common', '2016-07-25', '31e4f3044e6ad8a9b47f6e1cf130eb85b74b878b', '1', '1']
['4am-robotics_cob_common', '2016-09-13', 'd155b9e4effd841df201f777b22ac2bf5c2f8236', '1', '1']
['4am-robotics_cob_common', '2016-12-09', 'bcc1c6011b392615ca8a35290d931e0ca734f6ff', '1', '1']
['4am-robotics_cob_common', '2017-01-11', '2c7066720abb7607cb5ddaaeac8c756c0991772e', '1', '1']
['4am-robotics_cob_common', '2017-02-14', 'a83b14272436efc3cb9d406d084281a444b29323', '1', '1']
['4am-robotics_cob_common', '2017-03-17', 'e9214ca1c5b36207b94f59abf51d4dc24068a926', '1', '1']
['4am-robotics_cob_common', '2017-04-18', '5d6030e908c3b316508aca9f04a9f69ccfe2eaf0', '1', '1']
['4am-robotics_cob_common', '2017-07-07', '4bee2403e09cb0c763da6493d40c01c1970135fe', '1', '1']
['4am-robotics_cob_common', '2017-08-08', 'ee4c11c720f30f498d53f22bd9cf6a1fddf7c19d', '1', '1']
['4am-robotics_cob_common', '2017-09-09', 'c8110e7af2f3ab60510c649830e591de1dcfe3f7', '1', '1']
['4am-robotics_cob_common', '2017-10-09', 'e3affdfb329f233d855081d368af0faf3098deef', '1', '1']
['4am-robotics_cob_common', '2017-11-09', '672ad16532112be23732b486754d456d5b6dd393', '1', '1']
['4am-robotics_cob_common', '2018-01-07', '914e5fe769ebfa7845e7e2503f7d581074807d2c', '1', '1']
['4am-robotics_cob_common', '2018-02-21', '410817e36836c90f939bbe4b9fc9411816119a5b', '1', '1']
['4am-robotics_cob_common', '2018-04-23', 'fb9b9b62744b73079a6f7d56b90b3bb91004b8c1', '1', '1']
['4am-robotics_cob_common', '2018-06-07', 'eeeb46e0e1ee9664b91c71a36fe2abaad73f219e', '1', '1']
['4am-robotics_cob_common', '2018-07-11', '45f341a6e0912b18cac5f60c015a971f85f1e2e4', '1', '1']
['4am-robotics_cob_common', '2018-08-14', '8eba18148c059caadc6fc0dfa4ab8add97d00905', '1', '1']
['4am-robotics_cob_common', '2018-09-13', '73ef81a9841b8789c23974a5e7537ac17c075cba', '1', '1']
['4am-robotics_cob_common', '2018-11-09', 'c2f39cd95cc0974bd70a0d1848a7885f497f4370', '1', '1']
['4am-robotics_cob_common', '2019-01-08', '1ccf6bc047b7cac8abdcdeeddd58b7ea153eb6d8', '1', '1']
['4am-robotics_cob_common', '2019-03-14', '5b06a4293f9d944275f7e450afc24ca961d159e7', '1', '1']
['4am-robotics_cob_common', '2019-05-06', 'c74972dfa29a7e4e59022c792407ba8ba4177b1c', '1', '1']
['4am-robotics_cob_common', '2019-07-30', 'a89ec4b6a80b5b3f82f896a426e2ba8577d608e2', '1', '1']
['4am-robotics_cob_common', '2019-10-01', '6287a34ab2585785b530d670ac413070055f925d', '1', '1']
['4am-robotics_cob_common', '2019-11-07', 'a6a635f94977bd4da168bc9aa1fd012fd9ef4b95', '1', '1']
['4am-robotics_cob_common', '2020-01-05', '53fc60bd22c92065bc03b6d8c2ea48f47392ac9f', '1', '1']
['4am-robotics_cob_common', '2024-04-30', '28ab9bd196692223716d2a8f12e9e4b076c933c2', '0', '0']
['4am-robotics_cob_common', '2024-06-20', '55e0c22fe61709882ce8539c9ed509450ac27725', '0', '0']
['4am-robotics_cob_common', '2024-08-05', 'cf9207e16b771d4de207e24735fca574cc8ef6c7', '0', '0']
['git-big-picture_git-big-picture', '2013-04-25', '3788f6e53adb1db8556fced9467c2202105952f9', '2', '2']
['wbond_package_control_channel', '2012-01-01', '5f762c035f5ba1b3e18555a1d735c9e9b730c9b5', '0', '0']
['wbond_package_control_channel', '2012-01-31', 'bb51136613394dd148e76d6bda733383fa31dbf5', '0', '0']
['wbond_package_control_channel', '2012-03-04', '1cb0caac0eafa192ceae0f3dd99970fd66d28e04', '0', '0']
['wbond_package_control_channel', '2012-04-03', '17ef3fbec17e1a2e90a6f3bc0c6f7e94848e07ce', '0', '0']
['wbond_package_control_channel', '2012-05-03', 'b25f54cf489394e50d3c79a21b442e5c01d33bdd', '0', '0']
['wbond_package_control_channel', '2012-06-03', '14c1f78ef6bf3c8d5fcebcbddbe1ac85bc616d98', '0', '0']
['wbond_package_control_channel', '2012-07-04', '6004b75b41a4ef6478a71419f7462a16f7faf5e2', '0', '0']
['wbond_package_control_channel', '2012-08-03', '62a575b3c6ea89d791c517c9f1afe21feb2169b2', '0', '0']
['wbond_package_control_channel', '2012-09-03', '1eb87def418781727929397ee4aab131ed690282', '0', '0']
['wbond_package_control_channel', '2012-10-03', '9595bf87f35088e4e303d2caa11a93a2c47655a4', '0', '0']
['wbond_package_control_channel', '2012-11-02', '78c09b17ba9ae6aa823000a9dec3dc8e488129f2', '0', '0']
['wbond_package_control_channel', '2012-12-03', '93f103ce054e10fcb0a2abf96f9b21bbc93c5659', '0', '0']
